標題,文章網址,圖片網址,摘要
台南11號稻穀檢驗報告(2025第1期),https://www.agric.tw/blogs/%E6%AA%A2%E9%A9%97%E5%A0%B1%E5%91%8A/250801,"https://cdn1.cybassets.com/s/files/14475/ckeditor/pictures/content_788a8304-e0f6-4645-91a6-c7d0b844621f.jpg, 
https://cdn1.cybassets.com/s/files/14475/ckeditor/pictures/content_ad14e04f-15e3-45c0-956e-e665e87aa392.jpg, 
https://cdn1.cybassets.com/s/files/14475/ckeditor/pictures/content_77fa9c44-496e-4fb9-be85-057b4b852977.jpg, 
https://cdn1.cybassets.com/s/files/14475/ckeditor/pictures/content_bd5b0e92-0e15-48de-b5c8-e0a8ceb5dbd7.jpg, 
https://cdn1.cybassets.com/s/files/14475/ckeditor/pictures/content_086d775c-f30c-48fd-8060-cc541a0f5e56.jpg, 
https://cdn1.cybassets.com/s/files/14475/ckeditor/pictures/content_f9ce6103-bdd1-4dc9-b533-565d1c14b06b.jpg, 
https://cdn1.cybassets.com/s/files/14475/ckeditor/pictures/content_4336462e-b71b-4b48-9516-581057b1b82d.jpg, 
https://cdn1.cybassets.com/s/files/14475/ckeditor/pictures/content_50302ac5-e4c8-40db-a891-67298780b5f5.jpg, 
https://cdn1.cybassets.com/s/files/14475/ckeditor/pictures/content_42e7365f-7e00-49da-9ee3-d5e5313311ad.jpg, 
https://cdn1.cybassets.com/s/files/14475/ckeditor/pictures/content_a07b9998-5cdf-4cab-a486-580cd56e0ffc.jpg",台南11號稻穀原料檢驗報告
黑米稻穀檢驗報告(2024年2期),https://www.agric.tw/blogs/%E6%AA%A2%E9%A9%97%E5%A0%B1%E5%91%8A/241217,https://cdn1.cybassets.com/s/files/14475/ckeditor/pictures/content_3156caf0-3abc-482e-9c30-ef6fd3cf5cd8.jpg,黑米稻穀檢驗報告
台南11號稻穀檢驗報告(2024第2期),https://www.agric.tw/blogs/%E6%AA%A2%E9%A9%97%E5%A0%B1%E5%91%8A/180817,"https://cdn1.cybassets.com/s/files/14475/ckeditor/pictures/content_a21eb4df-aa5c-4582-8f2b-c3e433bdfd4c.jpg, 
https://cdn1.cybassets.com/s/files/14475/ckeditor/pictures/content_6d310b67-33af-477a-92e3-7fe9c4febfdd.jpg, 
https://cdn1.cybassets.com/s/files/14475/ckeditor/pictures/content_aa19fda4-f07a-4e75-968c-520d6ec4c489.jpg, 
https://cdn1.cybassets.com/s/files/14475/ckeditor/pictures/content_edb8b23d-e70a-46dd-ac89-2a2e2d6608bc.jpg, 
https://cdn1.cybassets.com/s/files/14475/ckeditor/pictures/content_88c0b087-df6d-497d-98ab-f9e02130e70d.jpg, 
https://cdn1.cybassets.com/s/files/14475/ckeditor/pictures/content_5edd6366-354c-4c49-8869-cbb54145aa19.jpg, 
https://cdn1.cybassets.com/s/files/14475/ckeditor/pictures/content_f9973e0b-2350-4a6f-848d-66ba53c3a821.jpg, 
https://cdn1.cybassets.com/s/files/14475/ckeditor/pictures/content_0e9e9ba2-8b57-41ac-a34c-a3437e80734c.jpg",阿古力社會企業稻穀台南11號檢驗報告
台南11號稻穀檢驗報告(2024第1期),https://www.agric.tw/blogs/%E6%AA%A2%E9%A9%97%E5%A0%B1%E5%91%8A/180813,"https://cdn1.cybassets.com/s/files/14475/ckeditor/pictures/content_0441c3cc-0965-405a-8c1d-90f5a9d20791.jpg, 
https://cdn1.cybassets.com/s/files/14475/ckeditor/pictures/content_961e0149-0b5b-473c-af24-8a52cdc068ad.jpg, 
https://cdn1.cybassets.com/s/files/14475/ckeditor/pictures/content_1733df47-7b62-4ee8-a208-e19b8a6c890f.jpg, 
https://cdn1.cybassets.com/s/files/14475/ckeditor/pictures/content_012fa8dc-8cb3-4bea-8fab-66547e46c730.jpg, 
https://cdn1.cybassets.com/s/files/14475/ckeditor/pictures/content_06551bf9-2f1d-49ff-b566-1c5de500370e.jpg, 
https://cdn1.cybassets.com/s/files/14475/ckeditor/pictures/content_41152239-1ebd-437a-91b9-48bc7328cc4b.jpg, 
https://cdn1.cybassets.com/s/files/14475/ckeditor/pictures/content_bf75b8b7-e02e-4db6-bca1-2c65682ea0dc.jpg, 
https://cdn1.cybassets.com/s/files/14475/ckeditor/pictures/content_b707f1f3-0b83-40f6-97c6-e70eb383a568.jpg, 
https://cdn1.cybassets.com/s/files/14475/ckeditor/pictures/content_f9753e07-7459-4db3-8487-9e40d63101e5.jpg",阿古力社會企業稻穀台南11號檢驗報告
黑米稻穀檢驗報告(2024年1期),https://www.agric.tw/blogs/%E6%AA%A2%E9%A9%97%E5%A0%B1%E5%91%8A/184951,"https://cdn1.cybassets.com/s/files/14475/ckeditor/pictures/content_919d9c69-645e-4754-b2d7-6b1e8e5fa8f6.jpg, 
https://cdn1.cybassets.com/s/files/14475/ckeditor/pictures/content_e1a5509b-5236-4574-97d4-46bad0c3c7bf.jpg, 
https://cdn1.cybassets.com/s/files/14475/ckeditor/pictures/content_23790c08-e4c1-4cbe-b50d-4d3e2ce06f81.jpg",黑米稻穀檢驗報告
台南11號稻穀檢驗報告(​​​​​​​2023年2期),https://www.agric.tw/blogs/%E6%AA%A2%E9%A9%97%E5%A0%B1%E5%91%8A/153687,"https://cdn1.cybassets.com/s/files/14475/ckeditor/pictures/content_37972007-9516-4b57-a595-64bb075b19b1.jpg, 
https://cdn1.cybassets.com/s/files/14475/ckeditor/pictures/content_60559d2a-1b25-47af-b8b5-1ae0a570d266.jpg, 
https://cdn1.cybassets.com/s/files/14475/ckeditor/pictures/content_73b270ec-7546-4921-94a1-2a79a45d40b4.jpg, 
https://cdn1.cybassets.com/s/files/14475/ckeditor/pictures/content_e219db3e-ae83-4f11-8639-86d820f6a7f5.jpg, 
https://cdn1.cybassets.com/s/files/14475/ckeditor/pictures/content_4e8cc4a6-9071-47a4-ad85-3f5f9abe6a2f.jpg, 
https://cdn1.cybassets.com/s/files/14475/ckeditor/pictures/content_eab9faa5-f38e-40a3-b8c2-88dfb5eea323.jpg, 
https://cdn1.cybassets.com/s/files/14475/ckeditor/pictures/content_f764e139-95cb-46c6-8662-b3f3d19ad85c.jpg, 
https://cdn1.cybassets.com/s/files/14475/ckeditor/pictures/content_f523cae8-758a-4ea7-bdfd-bfeae8edc4b3.jpg, 
https://cdn1.cybassets.com/s/files/14475/ckeditor/pictures/content_8e21f4a5-5545-4bc3-953a-cc5b12705d80.jpg, 
https://cdn1.cybassets.com/s/files/14475/ckeditor/pictures/content_fda388d0-3c51-4d3f-9f7b-54c3a9315c49.jpg, 
https://cdn1.cybassets.com/s/files/14475/ckeditor/pictures/content_d476e45e-90e9-492a-a4bb-d35778c957be.jpg",阿古力社會企業稻穀台南11號檢驗報告
台南11號稻穀檢驗報告(​​​​​​​2023年1期),https://www.agric.tw/blogs/%E6%AA%A2%E9%A9%97%E5%A0%B1%E5%91%8A/180816,"https://cdn1.cybassets.com/s/files/14475/ckeditor/pictures/content_f764e139-95cb-46c6-8662-b3f3d19ad85c.jpg, 
https://cdn1.cybassets.com/s/files/14475/ckeditor/pictures/content_f523cae8-758a-4ea7-bdfd-bfeae8edc4b3.jpg, 
https://cdn1.cybassets.com/s/files/14475/ckeditor/pictures/content_8e21f4a5-5545-4bc3-953a-cc5b12705d80.jpg, 
https://cdn1.cybassets.com/s/files/14475/ckeditor/pictures/content_fda388d0-3c51-4d3f-9f7b-54c3a9315c49.jpg, 
https://cdn1.cybassets.com/s/files/14475/ckeditor/pictures/content_d476e45e-90e9-492a-a4bb-d35778c957be.jpg",阿古力社會企業稻穀台南11號檢驗報告
百香果檢驗報告,https://www.agric.tw/blogs/%E6%AA%A2%E9%A9%97%E5%A0%B1%E5%91%8A/153738,"https://cdn1.cybassets.com/s/files/14475/ckeditor/pictures/content_42278eb1-0cf8-41e9-ae0d-902efeda765c.JPG, 
https://cdn1.cybassets.com/s/files/14475/ckeditor/pictures/content_4124c047-da5b-4b0e-a4d2-135bd651f689.jpg, 
https://cdn1.cybassets.com/s/files/14475/ckeditor/pictures/content_6b35d0a3-c3e0-4d16-984e-a017bd8c8170.jpg",百香果檢驗報告
黑米稻穀檢驗報告(2021年2期),https://www.agric.tw/blogs/%E6%AA%A2%E9%A9%97%E5%A0%B1%E5%91%8A/153688,"https://cdn1.cybassets.com/s/files/14475/ckeditor/pictures/content_919d9c69-645e-4754-b2d7-6b1e8e5fa8f6.jpg, 
https://cdn1.cybassets.com/s/files/14475/ckeditor/pictures/content_6ba703dd-9098-4363-9eb0-18203643c1e7.jpg",黑米稻穀檢驗報告
黑豆黃仁檢驗報告,https://www.agric.tw/blogs/%E6%AA%A2%E9%A9%97%E5%A0%B1%E5%91%8A/153739,"https://cdn1.cybassets.com/s/files/14475/ckeditor/pictures/content_ea8b9c1f-9310-4b30-a24f-f48298327d01.jpg, 
https://cdn1.cybassets.com/s/files/14475/ckeditor/pictures/content_c5312344-ca9d-4bc4-b667-3f5278221a8d.jpg, 
https://cdn1.cybassets.com/s/files/14475/ckeditor/pictures/content_898b38f2-49a4-48f2-aad6-e893e700b720.jpg, 
https://cdn1.cybassets.com/s/files/14475/ckeditor/pictures/content_1d01c8ef-0b40-4054-9258-313c81bb75b8.jpg",黑豆黃仁檢驗報告
